61,14117,9,0.43,"STUDENT_LESSON","2014-11-23 14:35:01.697131",NULL
62,13244,9,1.56,"STUDENT_LESSON","2014-11-23 14:35:09.256048",NULL
63,13244,3117,2.0,"STUDENT_LESSON","2014-11-22 21:40:12",NULL
64,13244,4306,4.0,"STUDENT_FIRST","2014-11-24 09:43:05.618326",NULL
65,13657,4687,3.0,"STUDENT_FIRST","2014-11-24 09:43:21",NULL
66,15083,1260,3.0,"STUDENT_FIRST","2014-11-24 15:21:07.273955",NULL
67,14117,6040,4.0,"STUDENT_FIRST","2014-11-24 15:21:40.66279",NULL
68,13244,3117,2.0,"STUDENT_LESSON","2014-11-25 10:29:14.331343",NULL
69,15433,2557,3.0,"STUDENT_FIRST","2014-11-25 10:30:44.970836",NULL
70,14697,15900,1.8,"STUDENT_FIRST","2014-11-25 14:24:27.066932",3945
71,13244,9,1.56,"STUDENT_LESSON","2014-11-25 18:33:53.018261",NULL
72,14697,15900,1.866,"STUDENT_FIRST","2014-11-26 03:52:05.246244",3952
73,13657,5,1.12,"STUDENT_LESSON","2014-11-26 14:23:25.628252",NULL
74,13244,5457,3.27,"STUDENT_FIRST","2014-11-26 21:21:31.141901",NULL
75,13657,4687,1.0,"STUDENT_LESSON","2014-11-26 21:22:21.031528",NULL
76,14151,13261,0.2154,"STUDENT_LESSON","2014-11-27 11:05:08.096635",6756
77,13244,9,1.56,"STUDENT_LESSON","2014-11-29 13:50:09.775703",NULL
78,13657,4687,1.0,"STUDENT_LESSON","2014-11-29 13:50:31.333381",NULL
84,14117,15871,1.568,"STUDENT_FIRST","2014-12-01 13:03:41.084805",4066
85,13244,14347,8.0,"STUDENT_FIRST","2014-12-01 15:10:54.00955",NULL
86,13657,11160,1.0,"STUDENT_LESSON","2014-12-01 18:35:17.747234",NULL
87,14151,13261,0.2154,"STUDENT_LESSON","2014-12-02 11:34:04.725729",6978
88,13244,9,1.56,"STUDENT_LESSON","2014-12-02 15:43:34.642736",NULL
89,13244,3117,2.0,"STUDENT_LESSON","2014-12-03 07:40:22.865809",NULL
